;ID		ncore	nmips	memory		storage		network		start_time	duration
Task
0	2	2400	7	2500	100	0	19025	
1	2	2400	7	2500	1000	172211	43328	
2	2	2400	7	2500	100	251072	34361	
3	4	2400	15	2500	1000	253225	37372	
4	2	2400	7	2500	100	253392	35202	
5	8	2400	7	2500	10	256867	22746	
6	4	2400	15	2500	10	306389	24562	
7	4	2400	15	2500	10	325830	6858	
8	2	2400	7	2500	100	335032	8219	
9	4	2400	15	2500	100	335042	29203	
10	4	2400	15	2500	10	335050	28881	
11	2	2400	7	2500	10	339439	3554	
12	8	2400	7	2500	1000	352740	6835	
13	2	2400	7	2500	1000	382934	43334	
14	4	2400	15	2500	1000	382971	12694	
15	8	2400	7	2500	100	383006	3635	
16	4	2400	15	2500	10	383062	43333	
17	2	2400	7	2500	1000	383088	132	
18	4	2400	15	2500	10	383107	43333	
19	2	2400	7	2500	100	385817	2368	
20	4	2400	15	2500	100	392390	3040	
21	8	2400	7	2500	100	392776	31071	
22	8	2400	7	2500	100	394761	8866	
23	2	2400	7	2500	100	394914	43335	
24	8	2400	7	2500	1000	394928	30630	
25	8	2400	7	2500	1000	395433	589	
26	2	2400	7	2500	100	397570	422	
27	8	2400	7	2500	10	397992	4274	
28	2	2400	7	2500	10	399229	30317	
29	8	2400	7	2500	1000	399255	30958	
30	8	2400	7	2500	1000	402270	527	
31	8	2400	7	2500	10	403632	11010	
32	8	2400	7	2500	1000	403899	423	
33	4	2400	15	2500	1000	404322	3257	
34	8	2400	7	2500	1000	407579	522	
35	4	2400	15	2500	1000	409242	427	
36	2	2400	7	2500	100	409670	2813	
37	4	2400	15	2500	100	412485	549	
38	4	2400	15	2500	1000	414162	433	
39	4	2400	15	2500	1000	414595	2640	
40	8	2400	7	2500	1000	414647	8805	
41	4	2400	15	2500	1000	417236	529	
42	2	2400	7	2500	10	423458	11092	
43	8	2400	7	2500	1000	424574	5527	
44	2	2400	7	2500	1000	426458	422	
45	2	2400	7	2500	100	426557	25993	
46	8	2400	7	2500	10	426880	2921	
47	4	2400	15	2500	10	426926	14102	
48	8	2400	7	2500	100	427006	31281	
49	2	2400	7	2500	1000	427017	24820	
50	8	2400	7	2500	10	427139	27998	
51	8	2400	7	2500	100	427631	4845	
52	8	2400	7	2500	10	427661	6317	
53	2	2400	7	2500	100	427813	31528	
54	2	2400	7	2500	100	429546	29865	
55	2	2400	7	2500	10	429802	555	
56	2	2400	7	2500	10	430214	31058	
57	8	2400	7	2500	1000	431707	433	
58	8	2400	7	2500	1000	432141	2430	
59	8	2400	7	2500	1000	434572	526	
60	8	2400	7	2500	100	434574	8670	
61	2	2400	7	2500	10	435361	43405	
62	2	2400	7	2500	100	436389	420	
63	4	2400	15	2500	1000	436810	2522	
64	4	2400	15	2500	1000	439333	544	
65	8	2400	7	2500	10	440328	43330	
66	8	2400	7	2500	10	441027	33	
67	4	2400	15	2500	10	441259	412	
68	8	2400	7	2500	10	441673	2686	
69	4	2400	15	2500	10	443250	9009	
70	8	2400	7	2500	100	444361	544	
71	4	2400	15	2500	1000	452288	9176	
72	2	2400	7	2500	100	453694	424	
73	8	2400	7	2500	10	454118	2760	
74	8	2400	7	2500	100	454714	13166	
75	4	2400	15	2500	1000	455969	24802	
76	4	2400	15	2500	1000	456007	28876	
77	8	2400	7	2500	10	456016	28118	
78	2	2400	7	2500	1000	456027	25167	
79	4	2400	15	2500	1000	456042	24206	
80	4	2400	15	2500	10	456055	34462	
81	2	2400	7	2500	1000	456879	555	
82	2	2400	7	2500	100	458900	411	
83	8	2400	7	2500	10	459312	3509	
84	2	2400	7	2500	100	459398	5463	
85	2	2400	7	2500	100	459419	30491	
86	8	2400	7	2500	10	460991	24061	
87	2	2400	7	2500	100	461275	31293	
88	2	2400	7	2500	100	461496	11164	
89	4	2400	15	2500	100	462823	539	
90	8	2400	7	2500	10	472204	417	
91	2	2400	7	2500	100	472622	2544	
92	2	2400	7	2500	1000	472674	8999	
93	4	2400	15	2500	100	475166	526	
94	4	2400	15	2500	1000	477228	413	
95	2	2400	7	2500	1000	477642	2363	
96	2	2400	7	2500	1000	479186	18570	
97	8	2400	7	2500	10	480007	555	
98	8	2400	7	2500	1000	480509	120	
99	8	2400	7	2500	1000	480809	216	
100	2	2400	7	2500	10	481702	8508	
101	4	2400	15	2500	100	483430	11161	
102	8	2400	7	2500	100	489659	489	
103	4	2400	15	2500	1000	489915	31396	
104	8	2400	7	2500	1000	490148	2691	
105	2	2400	7	2500	10	490232	11181	
106	4	2400	15	2500	10	492575	31800	
107	8	2400	7	2500	100	492842	563	
